"","en","af","am","ar","as","az","be","bg","bn","bs","cs","da","de","dv","el","es","et","fa","fi","fr","ga","he","hi","hr","hy","id","is","it","ja","jv","ka","kk","ko","ky","lb","lt","lv","mk","mn","ms","mt","my","ne","nl","no","pl","ps","pt","ro","ru","sk","sl","so","sq","sr","su","sv","sw","tg","th","tk","tl","tr","uk","ur","uz","vi","zh"
"independent","independent","onafhanklik","ገለልተኛ","مستقل","স্বাধীন","müstəqil","незалежная","независима","স্বাধীন","nezavisni","nezávislý","uafhængig","unabhängig","މިނިވަން","ανεξάρτητος","independiente","sõltumatu","مستقل","riippumaton","indépendant","neamhspleách","עצמאי","स्वतंत्र","nezavisna","անկախ","mandiri","óháð","indipendente","独立","merdika","დამოუკიდებელი","тәуелсіз","독립적인","көз карандысыз","onofhängeg","nepriklausomas","neatkarīgs","независна","бие даасан","bebas","indipendenti","လွတ်လပ်သော","स्वतन्त्र","onafhankelijk","uavhengig","niezależny","خپلواک","independente","independent","независимый","nezávislý","neodvisen","madax bannaan","të pavarur","независни","mandiri","oberoende","kujitegemea","мустакил","เป็นอิสระ","garaşsyz","malaya","bağımsız","незалежний","آزاد","mustaqil","độc lập","独立的"
"unattached","unattached","onverbonde","ያልተያያዘ","غير مرتبط","অসংলগ্ন","bağlanmamış","недалучаны","необвързан","অসংলগ্ন","nevezano","nepřipojený","ubundet","ungebunden","ނާއެޓޭޗްޑް","ασύνδετος","Sin adjuntar","kinnitamata","غیر متصل","kiinnittämätön","libre","gan cheangal","פָּנוּי","स्वाधीन","nevezani","չկապված","tidak terikat","óbundinn","distaccato","未接続","ora kagandhèng","შეუერთებელი","қосылмаған","붙어 있지 않은","тиркелбеген","onofhängeg","neprisegtas","nepiesaistīts","неврзан","холбоогүй","tidak terikat","mhux imwaħħla","မတွယ်တာ","संलग्न नगरिएको","niet gehecht","ubundet","nie połączony","بې تړاوه","desapegado","neatasat","непривязанный","nepripojené","nevezan","aan ku xidhnayn","i palidhur","невезани","teu napel","obunden","isiyoambatanishwa","васлнашуда","ไม่ได้แนบ","birikdirilmedik","hindi nakakabit","bağlanmamış","неприкріплений","غیر منسلک","biriktirilmagan","không dính mắc","独立的"
"solo","solo","solo","ብቸኛ","منفرد","একক","solo","сола","соло","একা","solo","sólo","solo","Solo","ސޯލޯ އެވެ","μονοφωνία","solo","soolo","انفرادی","yksin","solo","aonair","סוֹלוֹ","एकल","solo","սոլո","solo","sóló","assolo","ソロ","solo","სოლო","соло","독주","соло","solo","solo","solo","соло","соло","solo","solo","တစ်ကိုယ်တော်","एक्लो","solo","solo","solo","سولو","só","solo","соло","sólo","solo","kali ah","solo","соло","solokan","solo","pekee","соло","เดี่ยว","solo","solo","solo","соло","سولو","yakkaxon","đấu","独奏"
"individual","individual","individu","ግለሰብ","فردي","ব্যক্তিকেন্দ্ৰিক","fərdi","індывідуальны","индивидуален","স্বতন্ত্র","pojedinac","individuální","individuel","Individuell","ވަކި ފަރުދު","άτομο","individual","individuaalne","شخصی","yksilöllinen","individuel","aonair","אִישִׁי","व्यक्ति","pojedinac","անհատական","individu","einstaklingur","individuale","個人","individu","ინდივიდუალური","жеке","개인","жеке","individuell","individualus","individuāls","индивидуална","хувь хүн","individu","individwali","တစ်ဦးချင်း","व्यक्तिगत","individueel","individuell","indywidualny","انفرادي","Individual","individual","индивидуальный","individuálne","posameznik","shaqsi","individual","појединац","individu","enskild","mtu binafsi","фардӣ","รายบุคคล","şahsy","indibidwal","bireysel","індивідуальний","انفرادی","individual","cá nhân","个人"
"free","free","vry","ፍርይ","حر","বিনামূলীয়া","pulsuz","бясплатна","Безплатно","বিনামূল্যে","besplatno","volný, uvolnit","gratis","frei","ހިލޭ","Ελεύθερος","gratis","tasuta","رایگان","vapaa","gratuit","saor","חינם","मुक्त","besplatno","անվճար","bebas","ókeypis","gratuito","無料","gratis","უფასო","Тегін","무료","бекер","fräi","Laisvas","bezmaksas","бесплатно","үнэгүй","percuma","b'xejn","အခမဲ့","नि:शुल्क","vrij","gratis","bezpłatny","وړيا","livre","gratuit","бесплатно","zadarmo","prost","bilaasha","falas","бесплатно","bébas","fri","bure","озод","ฟรี","mugt","libre","özgür","безкоштовно","مفت","ozod","miễn phí","自由的"
"uncommitted","uncommitted","onverbonde","ያልተሰጠ","غير ملتزم","অকমিটেড","öhdəliksiz","незаангажаваны","неангажиран","প্রতিশ্রুতিহীন","neposvećen","nezávazně","uengageret","unverbindlich","ކޮމިޓް ނުކުރެވިގެންނެވެ","αδέσμευτος","no comprometido","pühendumata","غیر متعهد","sitoutumaton","non engagé","neamhthiomanta","לֹא מְחוּיָב","अशुद्ध","neposvećena","անպարտելի","tidak terikat","óskuldbundinn","non impegnato","コミットされていない","ora setya","დაუმორჩილებელი","міндеттемесіз","어느 편도 아닌","берилген эмес","net engagéiert","neįsipareigojęs","neapņemšanās","необврзани","үүрэг хүлээгээгүй","tidak komited","mhux impenjat","ကတိကဝတ်မရှိ","अप्रतिबद्ध","vrijblijvend","uengasjert","bezstronny","غیر ژمن","não comprometido","neangajat","незавершенный","bez záväzkov","nepovezano","aan ka go'neyn","i paangazhuar","непосвећени","teu komitmen","oengagerad","bila kujitolea","бевафо","ไม่มีข้อผูกมัด","rugsat berilmedik","walang tiwala","taahhüt edilmemiş","незакріплений","غیر پابند","majburiyatsiz","không cam kết","未承诺"
"solo.1","solo","solo","ብቸኛ","منفرد","একক","solo","сола","соло","একা","solo","sólo","solo","Solo","ސޯލޯ އެވެ","μονοφωνία","solo","soolo","انفرادی","yksin","solo","aonair","סוֹלוֹ","एकल","solo","սոլո","solo","einleikur","assolo","ソロ","solo","სოლო","соло","독주","соло","solo","solo","solo","соло","соло","solo","solo","တစ်ကိုယ်တော်","एक्लो","solo","solo","solo","سولو","só","solo","соло","sólo","solo","kali ah","solo","соло","solokan","solo","pekee","соло","เดี่ยว","solo","solo","solo","соло","سولو","yakkaxon","đấu","独奏"
"soloist","soloist","solis","ብቸኛ ሰው","عازف منفرد","এককবাদ্যযন্ত্ৰবাদক","solist","саліст","солист","একাকী","solista","sólista","solist","Solist","ސޯލޯއިސްޓް އެވެ","σολίστ","solista","solist","تکنواز","solisti","soliste","aonréadaí","סוֹלָן","एकल कलाकार","solist","մենակատար","pemain solo","einleikari","solista","ソリスト","solois","სოლისტი","солист","독주자","солист","Solist","solistas","solists","солист","гоцлол дуучин","pemain solo","solista","တစ်ကိုယ်တော်","एकल कलाकार","solist","solist","solista","soloist","solista","solist","солист","sólista","solistka","soloist","solist","солиста","solois","solist","mwimbaji pekee","солист","ศิลปินเดี่ยว","solist","soloista","solist","соліст","سولوسٹ","solist","nghệ sĩ độc tấu","独奏者"
"autonomous","autonomous","outonoom","ራሱን የቻለ","واثق من نفسه","স্বায়ত্তশাসিত","muxtar","аўтаномны","автономен","স্বায়ত্তশাসিত","autonomna","autonomní","autonom","autonom","އޮޓޮނޮމިކް އެވެ","αυτονόμος","autónomo","autonoomne","خود مختار","autonominen","autonome","uathrialach","אוטונומי","स्वायत्तशासी","autonomna","ինքնավար","otonom","sjálfráða","autonomo","自律","otonom","ავტონომიური","автономды","자발적인","автономдуу","autonom","autonominis","autonoma","автономна","бие даасан","berautonomi","awtonomu","ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်","स्वायत्त","autonoom","autonome","autonomiczny","خودمختاره","Autônomo","autonom","автономный","autonómny","avtonomna","madax bannaan","autonome","аутономна","otonom","autonom","uhuru","мухтор","อิสระ","özbaşdak","nagsasarili","otonom","автономний","خود مختار","avtonom","tự chủ","自主性"
"self-reliant.1","self-reliant","self onderhoudend","በራስ መተማመን","الاعتماد على الذات","আত্মনিৰ্ভৰশীল","özünə güvənən","самастойны","разчитащ на себе си","আত্মনির্ভরশীল","samopouzdan","soběstačný","selvhjulpen","selbstständig","އަމިއްލަ ނަފްސަށް ބަރޯސާވާ މީހެކެވެ","αυτοδύναμη","autosuficiente","isemajandav","متکی به خود","omavarainen","autonome","féinspleách","עצמאי","अपने पर भरोसा रखनेवाला","samopouzdan","ինքնավստահ","mandiri","sjálfbjarga","autosufficiente","自立した","mandhiri","თვითდაჯერებული","өзіне сенімді","자립","өзүнө таянган","selbststänneg","savarankiškas","pašpaļāvīgs","самостојни","бие даасан","berdikari","indipendenti","မိမိကိုယ်ကို အားကိုးပါ။","आत्मनिर्भर","zelfredzaam","selvforsynt","samodzielny","پر ځان متکي","autossuficiente","Auto-stătătoare","самостоятельный","sebestačný","zanesti se nase","isku filnaansho","i mbështetur te vetja","самосталан","mandiri","självförsörjande","kujitegemea","худбоварона","พึ่งตนเองได้","özüne garaşly","umaasa sa sarili","kendine güvenen","самостійний","خود انحصاری","o'ziga ishongan","tự chủ","自力更生"
